Dimensions,Obstacle Probability,Num Particles,Num Landmarks,Weighting Function,Device,Mean Time,Standard Deviation
2,0.1,32,10,Gaussian PDF,cuda,0.0005792440846344325,1.1260814371881412e-05
2,0.1,64,10,Gaussian PDF,cuda,0.0005726483577818654,1.1904602769245326e-05
2,0.1,128,10,Gaussian PDF,cuda,0.0005728189268321674,1.2917985346604792e-05
2,0.1,256,10,Gaussian PDF,cuda,0.0005636821175668646,1.4465401523457588e-05
2,0.1,512,10,Gaussian PDF,cuda,0.0005760709998972638,1.376016034399853e-05
2,0.1,1024,10,Gaussian PDF,cuda,0.0005729614282617686,1.1495006554437293e-05
2,0.1,2048,10,Gaussian PDF,cuda,0.0005705887804662769,0.0003761046355728449
2,0.1,4096,10,Gaussian PDF,cuda,0.0005696365395120668,1.3420319240624343e-05
2,0.1,8192,10,Gaussian PDF,cuda,0.0005769274733613708,6.707253733009516e-05
2,0.1,16384,10,Gaussian PDF,cuda,0.0005769376408979325,9.524165806228543e-06
2,0.1,32,10,Attention,cuda,0.00043384341636181135,0.00010688560528069525
2,0.1,64,10,Attention,cuda,0.0004230567346496571,7.765738115366465e-06
2,0.1,128,10,Attention,cuda,0.0004228164183597972,9.205583371113446e-06
2,0.1,256,10,Attention,cuda,0.0004434883390233706,9.975879262553556e-06
2,0.1,512,10,Attention,cuda,0.00043624783163952115,1.3208246000886551e-05
2,0.1,1024,10,Attention,cuda,0.0004456783087666404,0.000374101938309346
2,0.1,2048,10,Attention,cuda,0.0004444984742707771,8.523230621533929e-06
2,0.1,4096,10,Attention,cuda,0.00044805573662351044,1.643722404578278e-05
2,0.1,8192,10,Attention,cuda,0.0004516807380282403,1.5010143274645593e-05
2,0.1,16384,10,Attention,cuda,0.0004361175962300579,1.063128179679858e-05
3,0.1,32,10,Gaussian PDF,cuda,0.000573408042779832,2.165027955735368e-05
3,0.1,64,10,Gaussian PDF,cuda,0.0005677368964541812,1.3557783691741023e-05
3,0.1,128,10,Gaussian PDF,cuda,0.0005758662723367903,9.057701978470623e-06
3,0.1,256,10,Gaussian PDF,cuda,0.000577082480763615,8.53384437755263e-06
3,0.1,512,10,Gaussian PDF,cuda,0.000599119848132747,1.4626208370542976e-05
3,0.1,1024,10,Gaussian PDF,cuda,0.0005811890884979766,0.0004131078442184587
3,0.1,2048,10,Gaussian PDF,cuda,0.0005763459192503097,1.0695014135770605e-05
3,0.1,4096,10,Gaussian PDF,cuda,0.0005765377390860733,1.1367232955504933e-05
3,0.1,8192,10,Gaussian PDF,cuda,0.0005775883007155207,9.773832323179655e-06
3,0.1,16384,10,Gaussian PDF,cuda,0.0005789356548606035,1.0842463296883424e-05
3,0.1,32,10,Attention,cuda,0.0004250307209042183,1.0886227005649559e-05
3,0.1,64,10,Attention,cuda,0.00042376240180874177,9.08500676400178e-06
3,0.1,128,10,Attention,cuda,0.00042293342366075184,9.432531471189546e-06
3,0.1,256,10,Attention,cuda,0.00042524449597479175,8.552420557896314e-06
3,0.1,512,10,Attention,cuda,0.00042564479393891985,8.051970429298064e-06
3,0.1,1024,10,Attention,cuda,0.00042699958590223554,0.000404726232387372
3,0.1,2048,10,Attention,cuda,0.00042095262749946547,9.43759652627058e-06
3,0.1,4096,10,Attention,cuda,0.00042982565094541237,9.896246985943951e-06
3,0.1,8192,10,Attention,cuda,0.0004395068134698732,1.3264112187437578e-05
3,0.1,16384,10,Attention,cuda,0.0004582378429071801,9.233287338465141e-06
2,0.1,32,10,Gaussian PDF,cpu,0.0002454109057270853,5.588492632033984e-06
2,0.1,64,10,Gaussian PDF,cpu,0.00025127356586506595,4.508175862096157e-06
2,0.1,128,10,Gaussian PDF,cpu,0.00026212389156762903,3.983379414487168e-06
2,0.1,256,10,Gaussian PDF,cpu,0.0002838950103634832,9.343498659985834e-06
2,0.1,512,10,Gaussian PDF,cpu,0.000331451067488213,0.0003989363719087969
2,0.1,1024,10,Gaussian PDF,cpu,0.0004035866921810623,9.283350115418688e-06
2,0.1,2048,10,Gaussian PDF,cpu,0.0005058690573261064,3.5604584800413864e-05
2,0.1,4096,10,Gaussian PDF,cpu,0.0006204583871396506,7.991015403308076e-05
2,0.1,8192,10,Gaussian PDF,cpu,0.0009048728925105255,0.00021799190544212973
2,0.1,16384,10,Gaussian PDF,cpu,0.001433914721189297,0.00045840311891591636
2,0.1,32,10,Attention,cpu,0.00018554877783576553,7.050497455997353e-06
2,0.1,64,10,Attention,cpu,0.00019022609385819714,8.779881955725969e-06
2,0.1,128,10,Attention,cpu,0.00019935419318148982,8.092265137268111e-06
2,0.1,256,10,Attention,cpu,0.00021392411549491194,7.91199632119619e-06
2,0.1,512,10,Attention,cpu,0.00024990354194397716,0.0004124285184845069
2,0.1,1024,10,Attention,cpu,0.00030928513522587386,7.178960847813418e-06
2,0.1,2048,10,Attention,cpu,0.0003537413020606979,9.573790311849854e-06
2,0.1,4096,10,Attention,cpu,0.0004508474620556776,8.680836384551373e-06
2,0.1,8192,10,Attention,cpu,0.0006174058914825378,1.066783918794636e-05
2,0.1,16384,10,Attention,cpu,0.0009959426458607396,1.9565000138562044e-05
3,0.1,32,10,Gaussian PDF,cpu,0.00025006937401732764,5.894504301365197e-06
3,0.1,64,10,Gaussian PDF,cpu,0.0002532363288772323,5.296252980450554e-06
3,0.1,128,10,Gaussian PDF,cpu,0.0002649969067283814,7.533582189909835e-06
3,0.1,256,10,Gaussian PDF,cpu,0.00028901107516930577,0.00041715705853907976
3,0.1,512,10,Gaussian PDF,cpu,0.00032689151275690394,8.357820491048216e-06
3,0.1,1024,10,Gaussian PDF,cpu,0.00041283392583482437,7.85459180985356e-06
3,0.1,2048,10,Gaussian PDF,cpu,0.0004900654107973038,1.1869866708478366e-05
3,0.1,4096,10,Gaussian PDF,cpu,0.000563369520307685,1.2966639884489658e-05
3,0.1,8192,10,Gaussian PDF,cpu,0.0007590717423962988,4.80482530314743e-05
3,0.1,16384,10,Gaussian PDF,cpu,0.001125877060327115,3.866212776391629e-05
3,0.1,32,10,Attention,cpu,0.0001881191997225843,8.675566786014555e-06
3,0.1,64,10,Attention,cpu,0.00019016847605429744,7.73804561651907e-06
3,0.1,128,10,Attention,cpu,0.00020045851190595633,7.708451014171153e-06
3,0.1,256,10,Attention,cpu,0.00021920405536681622,0.0004051853559372952
3,0.1,512,10,Attention,cpu,0.00024903932245905056,8.243514102587867e-06
3,0.1,1024,10,Attention,cpu,0.00031658283965102724,8.699928642027246e-06
3,0.1,2048,10,Attention,cpu,0.0003594566272101486,1.0325649494506812e-05
3,0.1,4096,10,Attention,cpu,0.0004303196012533245,6.879144628248546e-06
3,0.1,8192,10,Attention,cpu,0.0006166982150237824,8.872861318472624e-06
3,0.1,16384,10,Attention,cpu,0.00098931480334994,1.9611862122985644e-05
